what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1429564241246
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1429564241246
os,sysinfo,,,"win32",1429564241269
arch,sysinfo,,,"x86",1429564241269
ws,sysinfo,,,"win32",1429564241269
locale,sysinfo,,,"ru_RU",1429564241269
processors,sysinfo,,,"2",1429564241269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429564241269
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1429564241269
java.specification.name,sysinfo,,,"Java Platform API Specification",1429564241269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1429564241269
java.specification.version,sysinfo,,,"1.7",1429564241269
java.vendor,sysinfo,,,"Oracle Corporation",1429564241269
java.version,sysinfo,,,"1.7.0_67",1429564241269
java.vm.info,sysinfo,,,"mixed mode, sharing",1429564241269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1429564241269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429564241269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429564241269
java.vm.specification.version,sysinfo,,,"1.7",1429564241269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429564241269
java.vm.version,sysinfo,,,"24.65-b04",1429564241269
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1429564241339
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1429564242032
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1429564242821
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1429564243290
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1429564307709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429564317006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429564380945
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1429564383481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429564388723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429564395663
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1429564395694
