what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426543523062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426543540181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426543556489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426543559895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426543603901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544230842
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426544257014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544275324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544276833
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426544282810
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426544322190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544334708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544364012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544368698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544370965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544445075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544451668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544472614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544594159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544602164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544972793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426544978347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545851273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545881112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545885968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545890366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545908187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545922827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545941141
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1426545955625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545956080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426545962109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1426546016622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546019296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546052474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546058761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546084227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546087208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546088399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546089099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546102870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426546108120
