what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426102776936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103597594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103614227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103732463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103738562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103758820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103761070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103763575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103773276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103774900
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426103786318
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1426103798689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103858783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103890802
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1426103948010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103950337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103952109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103959411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103961810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426103970475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104210692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104212583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104271447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104275076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104283467
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1426104294644
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1426104303135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426104356525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426105400161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1426105423098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426105425411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426105481575
